"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;",";"PinHeader_2x02_P2.54mm_Vertical";2;"";;;
2;"MH1,MH1,MH1";"MountingHole_3.2mm_M3";3;"Barrel";;;
3;"BT1,BT1";"BatteryHolder";2;"Battery";;;
4;"D2,D2";"LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm";2;"LED";;;
5;"D1,D1";"LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm";2;"IR LED";;;
6;"BT1";"BatteryHolder_pins";1;"Battery";;;
7;"U3,U2,U3,U2";"Vishay_MINICAST-3Pin";4;"TSOP36238";;;
8;"U1,U1";"Vishay_MINICAST-3Pin";2;"TSOP38356";;;
9;"REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**";"MouseNibble";72;"";;;
10;"REF**,REF**";"SOIC-8_3.9x4.9mm_P1.27mm";2;"SOIC-8_3.9x4.9mm_P1.27mm";;;
11;"REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**";"PinHeader_1x08_P2.54mm_Vertical";8;"PinHeader_1x08_P2.54mm_Vertical";;;
12;"J4,J5,J5,J4,J4,J5,J4,J5";"PinHeader_2x02_P2.54mm_Vertical";8;"SAO Slave";;;
13;"U4,U4";"TQFP-32_7x7mm_P0.8mm";2;"ATmega328P-AU";;;
14;"C1,C2,C1,C2";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";4;"C";;;
15;"J3,J2,J2,J3";"PinSocket_2x02_P2.54mm_Vertical";4;"SAO Master";;;
16;"BZ1,BZ1";"PKM13EPYH4000-A0";2;"Buzzer";;;
17;"SW1,SW1";"SW_DIP_SPSTx04_Slide_9.78x12.34mm_W8.61mm_P2.54mm";2;"SW_DIP_x04";;;
18;"U5,U5";"SOIC-16_3.9x9.9mm_P1.27mm";2;"74HC595";;;
19;"R2,R4,R3,R1,R9,R1,R3,R5,R7,R9,R11,R2,R4,R6,R8,R10,R12";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";17;"R";;;
20;"Y1,Y1";"Crystal_SMD_SeikoEpson_FA238-4Pin_3.2x2.5mm_HandSoldering";2;"Crystal_GND24";;;
21;"SW2,SW3,SW2";"SW_Tactile_SKHH_Angled";3;"SW_Push";;;
22;"J6,J6";"PinHeader_1x08_P2.54mm_Vertical";2;"XPANS";;;
23;"Q1,Q2,Q1,Q2";"SOT-23";4;"Q_NPN_CBE";;;
24;"J1,J1";"PinHeader_1x02_P2.54mm_Vertical";2;"External";;;
25;"J7,J7";"PinHeader_2x03_P2.54mm_Vertical";2;"SPI";;;
26;"D7,D3,D5,D7,D9,D4,D6,D8,D10";"LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder";9;"LED";;;
27;"G***";"Righty_Tyson";1;"LOGO";;;
28;"MH2,MH2";"MountingHole_3.2mm_M3";2;"Hammer";;;
29;"MH4,MH4";"MountingHole_3.2mm_M3";2;"Trigger";;;
30;"MH3,MH3";"MountingHole_3.2mm_M3";2;"Grip";;;
31;"REF**";"Pin_Header_Straight_2x05_Pitch2.54mm";1;"Pin_Header_Straight_2x05_Pitch2.54mm";;;
32;"REF**";"Pin_Header_Straight_2x03_Pitch2.54mm";1;"Pin_Header_Straight_2x03_Pitch2.54mm";;;
